,XRPUSDT,XEMUSDT,Spread,Zscore
81,0.642,0.0889,-0.01852699999999996,-0.8811760529067426
82,0.6522,0.0923,-0.03358899999999987,-1.468109363642446
83,0.6428,0.0947,-0.060821000000000014,-2.237086208762298
84,0.6115,0.0892,-0.05125599999999997,-1.6377986412189578
85,0.5846,0.0884,-0.07221200000000005,-2.0713077848088557
86,0.607,0.0893,-0.05649900000000008,-1.4095818890828054
87,0.6143,0.0922,-0.07074600000000009,-1.630787013271872
88,0.6047,0.0876,-0.04616799999999999,-0.8741504053153779
89,0.646,0.0917,-0.035331,-0.5781311110850437
90,0.5981,0.0836,-0.023047999999999957,-0.21529987401266046
91,0.6022,0.0832,-0.01597599999999999,0.050752266551240335
92,0.5808,0.0805,-0.01731499999999997,0.08127633898858984
93,0.5662,0.0759,0.002263000000000126,0.7692439608111015
94,0.4874,0.0579,0.057203000000000004,2.400222661812319
95,0.5134,0.0608,0.06165599999999999,2.2275989657408575
96,0.4172,0.0491,0.05238700000000007,1.7625561944467607
97,0.3856,0.0416,0.07651200000000002,2.034403291610002
98,0.4228,0.0578,-0.006653999999999938,0.1454082499310452
99,0.4263,0.0571,0.002047000000000021,0.3491295534013258
100,0.448,0.0666,-0.046838000000000046,-0.7161865431051169
101,0.4231,0.0586,-0.012297999999999976,0.061402884991517595
102,0.4379,0.0615,-0.01904499999999998,-0.09079414913686577
103,0.4055,0.0535,0.00799500000000003,0.47592883542710923
104,0.4203,0.0557,0.006449000000000038,0.3789402491836364
105,0.4102,0.0534,0.013438000000000005,0.47875386924009716
106,0.4144,0.0534,0.017637999999999987,0.5067162123689098
107,0.4218,0.0597,-0.021770999999999985,-0.5500935576007632
108,0.4051,0.0554,-0.006521999999999972,-0.25283876039216924
109,0.4086,0.0536,0.010352000000000028,0.1660013893635594
110,0.4061,0.0519,0.02048300000000003,0.4088062373111394
111,0.3927,0.0482,0.034573999999999994,0.775166149629657
112,0.3819,0.0469,0.033433000000000046,0.6682034673677881
113,0.3863,0.048,0.029659999999999964,0.48386791292738723
114,0.3891,0.0491,0.02428700000000006,0.2740042673880258
115,0.4186,0.0534,0.021838000000000024,0.2613468972733556
116,0.4216,0.0532,0.026324000000000014,0.5081213909011608
117,0.3979,0.0501,0.025656999999999985,0.5589116786595565
118,0.4054,0.0516,0.022011999999999976,0.630371574084331
119,0.3904,0.0497,0.02112900000000001,0.5293264637029802
120,0.3925,0.0506,0.016542000000000057,0.2779196967327324
121,0.3953,0.0511,0.015627000000000002,0.11841500552739262
122,0.4026,0.0533,0.0065810000000000035,-0.527445728474999
123,0.4076,0.0523,0.019011000000000056,0.1977034191992713
124,0.4006,0.0501,0.02835700000000002,0.8296519479064809
125,0.4001,0.0501,0.02785700000000002,0.7180229989239992
126,0.3814,0.0464,0.03664800000000007,1.2518608878575779
127,0.3596,0.0443,0.030451000000000006,0.7439387831935009
128,0.3432,0.0417,0.03336900000000004,1.0287723934895845
129,0.3118,0.039,0.02203000000000005,-0.26389705416154574
130,0.3213,0.04,0.024099999999999955,-0.09162214720943031
131,0.3436,0.0419,0.032283000000000006,0.9512065223968152
132,0.3131,0.0382,0.029274000000000022,0.5946387935427748
133,0.321,0.0399,0.024543000000000037,-0.015233351879535983
134,0.3075,0.0378,0.026646000000000003,0.3186148448739933
135,0.3262,0.0401,0.028257000000000032,0.5261884316642955
136,0.3227,0.0413,0.015840999999999994,-1.2196609602674346
137,0.3293,0.0417,0.019469000000000014,-0.6505280391543816
138,0.3223,0.0404,0.02212799999999998,-0.25160805139985626
139,0.3358,0.0421,0.02299699999999999,-0.13586296765893285
140,0.3672,0.043,0.047710000000000086,2.574769761094497
141,0.3676,0.0433,0.045881000000000005,2.0103230113948625
142,0.3592,0.0411,0.05382700000000007,2.324544487038943
143,0.3537,0.0423,0.03941100000000003,0.9462546871573861
144,0.3375,0.0403,0.03807100000000002,0.7338535889235839
145,0.3296,0.0393,0.037600999999999996,0.6348834948916058
146,0.3322,0.0385,0.04614499999999999,1.3496136287681928
147,0.3139,0.0382,0.030074000000000045,-0.17868996441626966
148,0.3156,0.0479,-0.04029699999999997,-3.6575169650372272
149,0.3216,0.043,0.0021100000000000563,-1.270085770761134
150,0.3285,0.042,0.01644000000000001,-0.5239279519002782
151,0.3252,0.0402,0.026513999999999982,-0.019616450786538085
152,0.3324,0.0405,0.031484999999999985,0.23427740032111133
153,0.3421,0.0418,0.031526000000000054,0.2306874637091368
154,0.3408,0.0415,0.03245500000000001,0.2583010652236944
155,0.3483,0.042,0.036239999999999994,0.4245950486115717
156,0.3272,0.0405,0.026285000000000003,-0.07172102404388563
157,0.3151,0.0379,0.033503000000000005,0.25115267354673804
158,0.3128,0.0377,0.03268900000000008,0.17878732596203484
159,0.3232,0.0388,0.034916,0.26166423017324714
160,0.3294,0.0399,0.032943000000000056,0.13714699087011395
161,0.3335,0.0405,0.03258500000000003,0.1589450999431905
162,0.3505,0.0417,0.04066900000000001,0.6002575054941223
163,0.3443,0.0406,0.04264200000000001,0.7554355970001988
164,0.3629,0.045,0.02855000000000002,0.01674587852120683
165,0.3729,0.0523,-0.015688999999999953,-2.027489335296507
166,0.3622,0.048,0.005560000000000009,-0.8999413056225837
167,0.3674,0.049,0.0033299999999999996,-0.9165608195161364
168,0.3612,0.0475,0.008275000000000032,-0.6208249046109438
169,0.3605,0.0503,-0.01322899999999999,-2.0750855898609784
170,0.3619,0.0486,0.0008020000000000249,-1.2478348329512468
171,0.3388,0.0446,0.007421999999999984,-0.826180915058684
172,0.3372,0.0445,0.006565000000000043,-0.8081621828807436
173,0.3596,0.0483,0.0007309999999999817,-1.0336201136393868
174,0.377,0.0494,0.009958000000000022,-0.4706498985677065
175,0.3708,0.0497,0.0015290000000000026,-0.8538438361260571
176,0.39,0.0491,0.02518700000000007,0.49575696303548245
177,0.3833,0.0494,0.016257999999999995,0.016929950259073713
178,0.3792,0.0515,-0.003444999999999976,-1.0080546857202664
179,0.3721,0.0487,0.010259000000000018,-0.1691401326384018
180,0.3707,0.0493,0.004400999999999988,-0.4456719380286015
181,0.3711,0.0503,-0.0026289999999999925,-0.7956010405287656
182,0.3783,0.0529,-0.014746999999999955,-1.4184343699845123
183,0.3755,0.0519,-0.010116999999999987,-1.07328488191196
184,0.3755,0.0515,-0.007144999999999957,-0.8559684640615132
185,0.3819,0.0524,-0.007431999999999994,-0.8318529326375587
186,0.3674,0.0493,0.0011010000000000186,-0.09611462506000236
187,0.3809,0.0521,-0.0062029999999999585,-0.783544033714007
188,0.3848,0.0561,-0.03202299999999997,-2.607356668193125
189,0.3825,0.0558,-0.03209400000000001,-2.161070290601976
190,0.3809,0.0544,-0.023291999999999924,-1.433146697307537
191,0.3796,0.0538,-0.020133999999999985,-1.1091959068041206
192,0.3783,0.0531,-0.016232999999999997,-0.7707380951787094
193,0.3805,0.0521,-0.00660299999999997,-0.08424921387592643
194,0.3813,0.0503,0.007570999999999994,0.8460043951272119
195,0.3744,0.05,0.0029000000000000137,0.5657458042431852
196,0.3321,0.0452,-0.0037359999999999616,0.12994123415891937
197,0.3338,0.045,-0.0005499999999999949,0.49225344653967607
198,0.3443,0.0462,0.0010340000000000349,0.7283959612829778
199,0.333,0.0442,0.004593999999999987,0.9750779466753794
