,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
167,API3USDT,FLMUSDT,0.0,-6.86,-3.37,18.07,60
425,ENJUSDT,ADAUSDT,0.02,-3.61,-3.37,0.94,56
849,YGGUSDT,ADAUSDT,0.03,-3.59,-3.37,0.67,52
475,LITUSDT,WAVESUSDT,0.0,-4.47,-3.37,0.31,48
28,1000XECUSDT,JSTUSDT,0.04,-3.41,-3.37,1.39,46
31,1INCHUSDT,DGBUSDT,0.01,-3.83,-3.37,75.47,46
769,XRPUSDT,CTCUSDT,0.0,-13.84,-3.37,1.01,46
422,DOGEUSDT,ADAUSDT,0.01,-4.1,-3.37,0.26,46
461,KDAUSDT,ADAUSDT,0.0,-4.29,-3.37,2.69,44
549,SANDUSDT,ADAUSDT,0.01,-3.85,-3.37,1.76,44
133,ALICEUSDT,NEOUSDT,0.0,-5.44,-3.37,0.18,44
714,XNOUSDT,AAVEUSDT,0.0,-4.2,-3.37,0.01,44
691,WAVESUSDT,CTCUSDT,0.0,-6.02,-3.37,6.13,43
632,TOMOUSDT,MINAUSDT,0.01,-4.04,-3.37,0.54,43
225,ASTRUSDT,KDAUSDT,0.0,-5.17,-3.37,0.04,43
147,ALPHAUSDT,OGNUSDT,0.0,-4.26,-3.37,0.85,42
150,ALPHAUSDT,TLMUSDT,0.0,-4.86,-3.37,5.73,41
446,ICPUSDT,ADAUSDT,0.01,-3.92,-3.37,11.7,41
139,ALPHAUSDT,DUSKUSDT,0.0,-5.02,-3.37,0.98,41
484,ONTUSDT,MTLUSDT,0.0,-4.59,-3.37,0.25,41
636,TRBUSDT,ADAUSDT,0.01,-4.07,-3.37,34.77,41
268,BAKEUSDT,ADAUSDT,0.01,-3.97,-3.37,0.54,41
179,API3USDT,XLMUSDT,0.0,-5.07,-3.37,15.93,40
703,XEMUSDT,ICXUSDT,0.0,-4.63,-3.37,0.21,40
708,XEMUSDT,ZILUSDT,0.01,-4.07,-3.37,1.49,40
161,API3USDT,COMPUSDT,0.0,-4.44,-3.37,0.04,40
197,ASTRUSDT,BTCUSDT,0.0,-4.36,-3.37,0.0,40
4,1000BTTUSDT,ADAUSDT,0.03,-3.59,-3.37,0.0,40
649,TRXUSDT,JSTUSDT,0.03,-3.59,-3.37,2.42,40
590,TOMOUSDT,AKROUSDT,0.02,-3.63,-3.37,109.91,39
132,ALICEUSDT,MINAUSDT,0.01,-3.94,-3.37,2.15,39
866,ZILUSDT,ICXUSDT,0.0,-4.29,-3.37,0.14,39
26,1000XECUSDT,CEEKUSDT,0.04,-3.41,-3.37,0.29,39
169,API3USDT,KSMUSDT,0.02,-3.63,-3.37,0.06,39
130,ALICEUSDT,IOTAUSDT,0.0,-4.47,-3.37,5.45,39
37,AAVEUSDT,BLZUSDT,0.0,-4.31,-3.37,1006.38,37
193,ASTRUSDT,BNBUSDT,0.0,-5.55,-3.37,0.0,37
604,TOMOUSDT,CTCUSDT,0.03,-3.55,-3.37,0.8,37
516,RNDRUSDT,ADAUSDT,0.03,-3.58,-3.37,1.45,37
129,ALICEUSDT,HOTUSDT,0.0,-4.85,-3.37,765.49,37
485,ONTUSDT,QTUMUSDT,0.0,-4.16,-3.37,0.08,37
527,RUNEUSDT,DENTUSDT,0.0,-5.16,-3.37,1746.6,37
6,1000BTTUSDT,DOTUSDT,0.01,-3.79,-3.37,0.0,37
565,SLPUSDT,ANKRUSDT,0.01,-3.86,-3.37,0.12,37
472,LITUSDT,IOTXUSDT,0.01,-4.05,-3.37,28.92,36
790,XRPUSDT,FILUSDT,0.0,-13.7,-3.37,0.09,36
166,API3USDT,EOSUSDT,0.01,-4.07,-3.37,1.58,36
208,ASTRUSDT,EGLDUSDT,0.0,-4.24,-3.37,0.0,36
805,XRPUSDT,HOTUSDT,0.0,-13.88,-3.37,243.12,36
777,XRPUSDT,DGBUSDT,0.0,-14.03,-3.37,54.8,36
44,AAVEUSDT,DGBUSDT,0.01,-3.8,-3.37,8489.16,36
420,CVXUSDT,ADAUSDT,0.02,-3.77,-3.37,11.99,36
693,WAVESUSDT,DGBUSDT,0.03,-3.53,-3.37,332.99,36
785,XRPUSDT,ENSUSDT,0.0,-14.05,-3.37,0.03,35
136,ALPHAUSDT,AVAXUSDT,0.03,-3.55,-3.37,0.01,35
497,RENUSDT,1000BTTUSDT,0.0,-4.73,-3.37,115.93,35
591,TOMOUSDT,API3USDT,0.05,-3.37,-3.37,0.21,35
215,ASTRUSDT,GLMRUSDT,0.0,-4.28,-3.37,0.1,35
42,AAVEUSDT,CTCUSDT,0.0,-4.27,-3.37,156.35,35
488,QTUMUSDT,AKROUSDT,0.02,-3.6,-3.37,757.06,35
470,LINAUSDT,ADAUSDT,0.0,-4.67,-3.37,0.02,35
613,TOMOUSDT,FLMUSDT,0.02,-3.71,-3.37,3.78,35
611,TOMOUSDT,FILUSDT,0.01,-3.9,-3.37,0.07,35
607,TOMOUSDT,DENTUSDT,0.0,-4.6,-3.37,438.94,35
378,CELUSDT,1INCHUSDT,0.0,-4.48,-3.37,0.95,35
526,RUNEUSDT,CTCUSDT,0.01,-3.93,-3.37,3.17,35
776,XRPUSDT,DENTUSDT,0.0,-13.94,-3.37,556.26,34
793,XRPUSDT,FLOWUSDT,0.0,-13.86,-3.37,0.31,34
520,RUNEUSDT,ARPAUSDT,0.01,-3.82,-3.37,44.62,34
112,AKROUSDT,UNFIUSDT,0.01,-4.02,-3.37,0.0,34
185,ASTRUSDT,AUDIOUSDT,0.0,-4.21,-3.37,0.25,34
412,COTIUSDT,ASTRUSDT,0.02,-3.68,-3.37,1.99,34
726,XRPUSDT,AKROUSDT,0.0,-13.75,-3.37,139.26,34
643,TRXUSDT,CEEKUSDT,0.02,-3.76,-3.37,0.51,34
817,XRPUSDT,KDAUSDT,0.0,-13.68,-3.37,0.42,34
164,API3USDT,DUSKUSDT,0.04,-3.42,-3.37,15.94,34
283,BAKEUSDT,BLZUSDT,0.0,-5.91,-3.37,3.08,34
247,ASTRUSDT,SLPUSDT,0.01,-3.85,-3.37,14.46,34
39,AAVEUSDT,CHRUSDT,0.02,-3.73,-3.37,526.37,34
49,AAVEUSDT,FLMUSDT,0.0,-4.75,-3.37,741.18,34
137,ALPHAUSDT,CTCUSDT,0.01,-3.88,-3.37,0.23,33
495,QTUMUSDT,MTLUSDT,0.0,-4.43,-3.37,3.01,33
251,ASTRUSDT,SUNUSDT,0.03,-3.53,-3.37,7.21,33
821,XRPUSDT,LDOUSDT,0.0,-14.05,-3.37,0.32,33
105,AKROUSDT,CEEKUSDT,0.0,-5.12,-3.37,0.03,33
182,ASTRUSDT,1000BTTUSDT,0.0,-4.77,-3.37,54.2,33
263,BAKEUSDT,1000BTTUSDT,0.03,-3.51,-3.37,267.38,33
347,BAKEUSDT,OMGUSDT,0.01,-3.99,-3.37,0.16,32
862,ZILUSDT,ANKRUSDT,0.01,-3.93,-3.37,1.01,32
45,AAVEUSDT,DODOUSDT,0.0,-5.33,-3.37,505.36,32
369,CELOUSDT,LTCUSDT,0.01,-3.87,-3.37,0.01,32
122,ALICEUSDT,DGBUSDT,0.0,-4.23,-3.37,172.49,32
217,ASTRUSDT,GTCUSDT,0.0,-5.13,-3.37,0.02,32
165,API3USDT,ENSUSDT,0.04,-3.42,-3.37,0.11,32
449,ICXUSDT,MTLUSDT,0.02,-3.6,-3.37,0.23,32
735,XRPUSDT,ARPAUSDT,0.0,-13.91,-3.37,14.21,32
8,1000BTTUSDT,GTCUSDT,0.0,-4.38,-3.37,0.0,32
310,BAKEUSDT,FILUSDT,0.03,-3.52,-3.37,0.04,32
760,XRPUSDT,CELUSDT,0.0,-13.61,-3.37,0.76,32
138,ALPHAUSDT,DARUSDT,0.0,-4.28,-3.37,0.65,32
191,ASTRUSDT,BITUSDT,0.0,-5.68,-3.37,0.12,32
321,BAKEUSDT,ICPUSDT,0.0,-4.78,-3.37,0.05,32
171,API3USDT,OGNUSDT,0.0,-4.76,-3.37,13.89,32
170,API3USDT,MINAUSDT,0.03,-3.48,-3.37,2.58,32
493,QTUMUSDT,CEEKUSDT,0.04,-3.43,-3.37,20.54,32
126,ALICEUSDT,FLOWUSDT,0.04,-3.4,-3.37,0.99,31
544,RUNEUSDT,SNXUSDT,0.01,-3.93,-3.37,0.69,31
261,AUDIOUSDT,AAVEUSDT,0.02,-3.71,-3.37,0.0,31
245,ASTRUSDT,SHIB1000USDT,0.0,-4.56,-3.37,3.99,31
218,ASTRUSDT,HNTUSDT,0.0,-4.99,-3.37,0.01,31
458,KDAUSDT,1000BTTUSDT,0.01,-3.82,-3.37,1326.66,31
443,HNTUSDT,ADAUSDT,0.0,-4.37,-3.37,7.44,31
709,XLMUSDT,AAVEUSDT,0.02,-3.72,-3.37,0.0,31
9,1000BTTUSDT,INJUSDT,0.03,-3.51,-3.37,0.0,31
865,ZILUSDT,CEEKUSDT,0.0,-4.36,-3.37,0.21,31
867,ZILUSDT,MTLUSDT,0.0,-4.38,-3.37,0.03,31
835,XRPUSDT,MTLUSDT,0.0,-13.97,-3.37,0.55,31
628,TOMOUSDT,LOOKSUSDT,0.02,-3.7,-3.37,2.2,31
27,1000XECUSDT,DASHUSDT,0.04,-3.44,-3.37,0.0,31
529,RUNEUSDT,ENSUSDT,0.03,-3.53,-3.37,0.09,31
798,XRPUSDT,GLMRUSDT,0.0,-13.67,-3.37,1.06,31
432,GALAUSDT,10000NFTUSDT,0.04,-3.42,-3.37,5.8,30
759,XRPUSDT,CELRUSDT,0.0,-14.04,-3.37,33.95,30
304,BAKEUSDT,DODOUSDT,0.0,-5.12,-3.37,1.55,30
135,ALICEUSDT,OMGUSDT,0.0,-4.45,-3.37,1.04,30
844,YGGUSDT,1000BTTUSDT,0.0,-4.17,-3.37,328.64,30
195,ASTRUSDT,BSVUSDT,0.0,-4.65,-3.37,0.0,30
151,ALPHAUSDT,TRBUSDT,0.03,-3.56,-3.37,0.01,30
803,XRPUSDT,HBARUSDT,0.0,-13.89,-3.37,7.89,30
116,ALICEUSDT,BELUSDT,0.01,-3.87,-3.37,2.95,30
528,RUNEUSDT,DGBUSDT,0.0,-4.85,-3.37,172.06,30
482,ONTUSDT,BCHUSDT,0.01,-3.9,-3.37,0.0,30
163,API3USDT,DARUSDT,0.02,-3.61,-3.37,10.67,30
57,AAVEUSDT,OGNUSDT,0.0,-4.44,-3.37,569.69,30
572,SUNUSDT,AAVEUSDT,0.0,-4.98,-3.37,0.0,30
119,ALICEUSDT,CELRUSDT,0.04,-3.44,-3.37,106.88,30
160,API3USDT,BLZUSDT,0.03,-3.47,-3.37,24.54,29
172,API3USDT,PAXGUSDT,0.01,-3.99,-3.37,0.0,29
418,CTSIUSDT,ACHUSDT,0.01,-3.93,-3.37,10.61,29
617,TOMOUSDT,HOTUSDT,0.01,-3.87,-3.37,191.9,29
21,1000LUNCUSDT,ROSEUSDT,0.03,-3.52,-3.37,3.75,29
683,WAVESUSDT,1000LUNCUSDT,0.0,-4.27,-3.37,13.25,29
29,1000XECUSDT,MTLUSDT,0.02,-3.63,-3.37,0.04,29
162,API3USDT,CTCUSDT,0.0,-4.28,-3.37,3.81,29
622,TOMOUSDT,KDAUSDT,0.03,-3.56,-3.37,0.33,29
258,ASTRUSDT,YGGUSDT,0.0,-4.39,-3.37,0.16,29
104,AKROUSDT,AUDIOUSDT,0.0,-4.29,-3.37,0.02,29
392,CELUSDT,ARPAUSDT,0.0,-4.44,-3.37,18.57,29
19,1000LUNCUSDT,LUNA2USDT,0.02,-3.59,-3.37,0.1,29
589,TOMOUSDT,AAVEUSDT,0.0,-4.15,-3.37,0.01,29
36,AAVEUSDT,BELUSDT,0.0,-4.24,-3.37,145.28,29
670,USDCUSDT,ADAUSDT,0.0,-12.76,-3.37,3.03,29
23,1000LUNCUSDT,VETUSDT,0.03,-3.55,-3.37,9.0,29
121,ALICEUSDT,CTCUSDT,0.01,-3.8,-3.37,3.18,29
592,TOMOUSDT,ARPAUSDT,0.0,-4.21,-3.37,11.22,29
305,BAKEUSDT,DOGEUSDT,0.03,-3.51,-3.37,2.12,29
205,ASTRUSDT,DOGEUSDT,0.0,-4.97,-3.37,0.43,29
503,RENUSDT,ADAUSDT,0.0,-5.13,-3.37,0.24,29
256,ASTRUSDT,USDCUSDT,0.01,-4.11,-3.37,0.04,29
316,BAKEUSDT,GLMRUSDT,0.01,-3.78,-3.37,0.5,29
603,TOMOUSDT,CROUSDT,0.0,-5.62,-3.37,4.31,29
690,WAVESUSDT,CROUSDT,0.01,-3.87,-3.37,33.16,29
674,USDCUSDT,ALICEUSDT,0.0,-12.85,-3.37,0.84,28
180,ARPAUSDT,1INCHUSDT,0.01,-4.09,-3.37,0.05,28
730,XRPUSDT,ANKRUSDT,0.0,-14.03,-3.37,17.8,28
198,ASTRUSDT,CELRUSDT,0.02,-3.71,-3.37,3.27,28
434,GRTUSDT,1000BTTUSDT,0.04,-3.4,-3.37,91.12,28
456,KAVAUSDT,ADAUSDT,0.02,-3.68,-3.37,2.73,28
47,AAVEUSDT,ENSUSDT,0.03,-3.58,-3.37,4.56,28
419,CVXUSDT,1000BTTUSDT,0.0,-4.22,-3.37,5914.66,28
243,ASTRUSDT,SANDUSDT,0.0,-4.9,-3.37,0.06,28
699,WAVESUSDT,JASMYUSDT,0.03,-3.59,-3.37,581.77,28
5,1000BTTUSDT,BITUSDT,0.0,-4.37,-3.37,0.0,28
574,SUNUSDT,ADAUSDT,0.0,-5.51,-3.37,0.02,28
812,XRPUSDT,IOTAUSDT,0.0,-13.92,-3.37,1.73,28
381,CELUSDT,ADAUSDT,0.0,-4.64,-3.37,1.49,28
576,SUNUSDT,AKROUSDT,0.0,-4.37,-3.37,1.86,28
391,CELUSDT,APTUSDT,0.0,-4.6,-3.37,0.11,28
755,XRPUSDT,BTCUSDT,0.0,-13.8,-3.37,0.0,28
153,ALPHAUSDT,XNOUSDT,0.02,-3.71,-3.37,0.15,28
152,ALPHAUSDT,XLMUSDT,0.01,-3.84,-3.37,0.98,28
63,ACHUSDT,KNCUSDT,0.0,-4.15,-3.37,0.02,28
124,ALICEUSDT,FILUSDT,0.0,-4.33,-3.37,0.27,28
616,TOMOUSDT,HBARUSDT,0.0,-4.58,-3.37,6.23,27
601,TOMOUSDT,CHRUSDT,0.04,-3.41,-3.37,2.68,27
377,CELUSDT,1000XECUSDT,0.02,-3.64,-3.37,17.0,27
110,AKROUSDT,STGUSDT,0.04,-3.45,-3.37,0.01,27
707,XEMUSDT,STORJUSDT,0.02,-3.61,-3.37,0.1,27
648,TRXUSDT,ICXUSDT,0.01,-4.09,-3.37,0.33,27
508,RENUSDT,ALPHAUSDT,0.0,-4.85,-3.37,0.89,27
597,TOMOUSDT,BATUSDT,0.03,-3.56,-3.37,1.32,27
125,ALICEUSDT,FITFIUSDT,0.04,-3.45,-3.37,31.4,27
645,TRXUSDT,CKBUSDT,0.0,-4.91,-3.37,19.87,27
220,ASTRUSDT,ILVUSDT,0.0,-5.02,-3.37,0.0,27
445,ICPUSDT,1000BTTUSDT,0.02,-3.67,-3.37,5769.13,27
602,TOMOUSDT,COMPUSDT,0.01,-3.98,-3.37,0.01,27
383,CELUSDT,AKROUSDT,0.02,-3.63,-3.37,182.01,27
465,KDAUSDT,API3USDT,0.04,-3.47,-3.37,0.62,27
575,SUNUSDT,AGLDUSDT,0.01,-3.84,-3.37,0.02,27
619,TOMOUSDT,IOTAUSDT,0.03,-3.52,-3.37,1.37,27
483,ONTUSDT,CELRUSDT,0.04,-3.43,-3.37,15.35,27
62,ACHUSDT,HBARUSDT,0.03,-3.51,-3.37,0.2,27
322,BAKEUSDT,ILVUSDT,0.04,-3.41,-3.37,0.0,27
538,RUNEUSDT,MINAUSDT,0.01,-3.91,-3.37,2.14,27
289,BAKEUSDT,CHRUSDT,0.02,-3.74,-3.37,1.61,26
259,ASTRUSDT,ZECUSDT,0.0,-5.44,-3.37,0.0,26
373,CELRUSDT,1INCHUSDT,0.01,-3.97,-3.37,0.02,26
534,RUNEUSDT,KSMUSDT,0.02,-3.69,-3.37,0.05,26
227,ASTRUSDT,LINAUSDT,0.0,-5.8,-3.37,6.0,26
824,XRPUSDT,LITUSDT,0.0,-13.88,-3.37,0.54,26
481,ONTUSDT,ANKRUSDT,0.01,-3.96,-3.37,8.05,26
46,AAVEUSDT,DUSKUSDT,0.03,-3.59,-3.37,653.66,26
826,XRPUSDT,LPTUSDT,0.0,-14.01,-3.37,0.05,26
564,SLPUSDT,ALICEUSDT,0.02,-3.71,-3.37,0.0,26
771,XRPUSDT,CTSIUSDT,0.0,-13.74,-3.37,3.65,26
16,1000LUNCUSDT,FITFIUSDT,0.02,-3.64,-3.37,4.58,26
342,BAKEUSDT,MINAUSDT,0.0,-4.6,-3.37,0.32,26
117,ALICEUSDT,BLZUSDT,0.04,-3.42,-3.37,20.45,26
685,WAVESUSDT,ACHUSDT,0.03,-3.53,-3.37,235.62,26
212,ASTRUSDT,FXSUSDT,0.0,-5.31,-3.37,0.01,26
767,XRPUSDT,CROUSDT,0.0,-13.9,-3.37,5.46,26
320,BAKEUSDT,HOTUSDT,0.0,-4.77,-3.37,115.47,26
203,ASTRUSDT,CTKUSDT,0.0,-5.65,-3.37,0.05,26
600,TOMOUSDT,CELRUSDT,0.01,-4.01,-3.37,26.8,26
469,LINAUSDT,1000BTTUSDT,0.0,-4.47,-3.37,9.02,26
738,XRPUSDT,AUDIOUSDT,0.0,-13.72,-3.37,2.55,26
178,API3USDT,TLMUSDT,0.0,-4.15,-3.37,93.38,26
518,RUNEUSDT,AAVEUSDT,0.01,-4.07,-3.37,0.02,26
387,CELUSDT,ANKRUSDT,0.0,-4.68,-3.37,23.25,25
350,BELUSDT,1000BTTUSDT,0.03,-3.58,-3.37,600.38,25
588,TOMOUSDT,1INCHUSDT,0.01,-3.88,-3.37,0.57,25
148,ALPHAUSDT,RVNUSDT,0.04,-3.45,-3.37,4.06,25
41,AAVEUSDT,CROUSDT,0.0,-4.28,-3.37,845.37,25
606,TOMOUSDT,CTSIUSDT,0.03,-3.48,-3.37,2.88,25
159,API3USDT,BELUSDT,0.01,-4.06,-3.37,3.54,25
696,WAVESUSDT,FLOWUSDT,0.03,-3.48,-3.37,1.9,25
99,AKROUSDT,1000XECUSDT,0.04,-3.45,-3.37,0.09,25
58,AAVEUSDT,OMGUSDT,0.04,-3.43,-3.37,51.37,25
630,TOMOUSDT,LUNA2USDT,0.05,-3.38,-3.37,0.18,25
444,HOTUSDT,1000LUNCUSDT,0.04,-3.46,-3.37,0.01,25
471,LITUSDT,CTCUSDT,0.0,-4.15,-3.37,1.88,25
51,AAVEUSDT,GLMRUSDT,0.03,-3.56,-3.37,163.64,25
236,ASTRUSDT,ONEUSDT,0.0,-4.67,-3.37,2.6,25
17,1000LUNCUSDT,FLOWUSDT,0.03,-3.58,-3.37,0.14,25
598,TOMOUSDT,BTCUSDT,0.01,-3.99,-3.37,0.0,25
562,SLPUSDT,ADAUSDT,0.03,-3.56,-3.37,0.01,25
15,1000LUNCUSDT,CTCUSDT,0.0,-4.68,-3.37,0.46,25
295,BAKEUSDT,CROUSDT,0.0,-5.17,-3.37,2.59,24
405,COTIUSDT,ANKRUSDT,0.01,-3.85,-3.37,3.42,24
298,BAKEUSDT,CTKUSDT,0.0,-4.59,-3.37,0.24,24
424,EGLDUSDT,1000BTTUSDT,0.03,-3.48,-3.37,64251.99,24
300,BAKEUSDT,CVXUSDT,0.02,-3.71,-3.37,0.05,24
333,BAKEUSDT,LINAUSDT,0.0,-4.23,-3.37,29.62,24
270,BAKEUSDT,ALICEUSDT,0.01,-3.92,-3.37,0.15,24
609,TOMOUSDT,ENSUSDT,0.0,-4.3,-3.37,0.02,24
303,BAKEUSDT,DGBUSDT,0.01,-4.04,-3.37,26.02,24
623,TOMOUSDT,KNCUSDT,0.01,-3.88,-3.37,0.5,24
301,BAKEUSDT,DARUSDT,0.01,-3.94,-3.37,1.34,24
370,CELOUSDT,STMXUSDT,0.03,-3.58,-3.37,88.61,24
306,BAKEUSDT,EOSUSDT,0.0,-6.05,-3.37,0.2,24
671,USDCUSDT,AGLDUSDT,0.0,-12.75,-3.37,4.13,24
376,CELUSDT,1000LUNCUSDT,0.04,-3.45,-3.37,2.85,24
35,AAVEUSDT,ARPAUSDT,0.01,-3.82,-3.37,2201.74,24
38,AAVEUSDT,BTCUSDT,0.01,-4.03,-3.37,0.0,24
662,UNIUSDT,ADAUSDT,0.04,-3.45,-3.37,17.72,24
568,SUNUSDT,1000BTTUSDT,0.03,-3.48,-3.37,7.52,24
53,AAVEUSDT,KNCUSDT,0.02,-3.6,-3.37,97.36,24
143,ALPHAUSDT,LINAUSDT,0.0,-4.49,-3.37,14.46,24
190,ASTRUSDT,BELUSDT,0.01,-4.05,-3.37,0.09,24
64,ACHUSDT,MINAUSDT,0.01,-4.03,-3.37,0.02,24
698,WAVESUSDT,IOTXUSDT,0.0,-4.55,-3.37,94.15,24
186,ASTRUSDT,AVAXUSDT,0.0,-4.36,-3.37,0.0,24
868,ZILUSDT,QTUMUSDT,0.0,-4.43,-3.37,0.01,24
786,XRPUSDT,EOSUSDT,0.0,-13.71,-3.37,0.42,24
753,XRPUSDT,BSVUSDT,0.0,-13.71,-3.37,0.01,24
196,ASTRUSDT,BSWUSDT,0.0,-4.92,-3.37,0.18,24
91,AGLDUSDT,GTCUSDT,0.04,-3.4,-3.37,0.14,24
489,QTUMUSDT,ANKRUSDT,0.0,-4.84,-3.37,96.73,24
500,RENUSDT,1INCHUSDT,0.01,-4.01,-3.37,0.15,24
67,ACHUSDT,STXUSDT,0.01,-3.89,-3.37,0.04,24
477,MINAUSDT,1INCHUSDT,0.02,-3.68,-3.37,1.06,24
813,XRPUSDT,IOTXUSDT,0.0,-14.09,-3.37,15.5,24
237,ASTRUSDT,OPUSDT,0.0,-4.94,-3.37,0.04,24
853,YGGUSDT,ALICEUSDT,0.03,-3.49,-3.37,0.19,24
524,RUNEUSDT,CELRUSDT,0.04,-3.45,-3.37,106.61,24
262,AUDIOUSDT,ACHUSDT,0.04,-3.45,-3.37,15.19,24
724,XRPUSDT,ADAUSDT,0.0,-13.64,-3.37,1.14,24
467,KSMUSDT,ACHUSDT,0.03,-3.47,-3.37,2493.21,24
334,BAKEUSDT,LINKUSDT,0.01,-3.79,-3.37,0.03,23
731,XRPUSDT,ANTUSDT,0.0,-14.32,-3.37,0.2,23
596,TOMOUSDT,BALUSDT,0.01,-3.88,-3.37,0.06,23
355,BSVUSDT,ANKRUSDT,0.03,-3.52,-3.37,1832.61,23
466,KDAUSDT,ARPAUSDT,0.02,-3.63,-3.37,33.47,23
633,TOMOUSDT,NEOUSDT,0.02,-3.74,-3.37,0.04,23
144,ALPHAUSDT,LINKUSDT,0.01,-4.03,-3.37,0.01,23
52,AAVEUSDT,HOTUSDT,0.02,-3.6,-3.37,37674.56,23
209,ASTRUSDT,ENJUSDT,0.0,-4.74,-3.37,0.12,23
155,ANKRUSDT,1000BTTUSDT,0.03,-3.48,-3.37,31.62,23
